"NULL_PREDICTORxcolumn","NULL_PREDICTORxis_factor_by_mse","NULL_PREDICTORxis_factor_by_prop","NULL_PREDICTORxpval_test_mse_diff","NULL_PREDICTORxpval_test_prop_diff","NULL_PREDICTORxformula_null","NULL_PREDICTORxformula_fit","NULL_PREDICTORxtest_mse_null","NULL_PREDICTORxtest_mse_fit","NULL_PREDICTORxtest_pbest_null","NULL_PREDICTORxtest_pbest_fit","adj_rsq_null","adj_rsq_fit","n_slopes_null","n_slopes_fit","adj_n_slopes_null","adj_n_slopes_fit","df_null","df_fit","df_ratio_null","df_ratio_fit","alias_null","alias_fit","na_null","na_fit","mean_pval_null","mean_pval_fit","median_pval_null","median_pval_fit","max_pval_null","max_pval_fit","sd_pval_null","sd_pval_fit","aic_null_to_fit_diff","anova_p","pval_param","adj_rsq_param","predictor_is_null"
"31","MAYBE_FACTORxMonthSold",FALSE,FALSE,0.0769540850024788,0.252929589039799,"NUMBERxNOT_FACTORxSquareFeet~NUMBERxNOT_FACTORxLotSize+FACTORxMAYBE_FACTORxMonthSold","NUMBERxNOT_FACTORxSquareFeet~NUMBERxNOT_FACTORxLotSize+FACTORxMAYBE_FACTORxMonthSold+NUMBERxNOT_FACTORxLotSize:FACTORxMAYBE_FACTORxMonthSold",437730.299398734,1932519.58759611,0.486338797814208,0.513661202185792,0.0363813766994299,0.0839671094088885,13,24,13,24,353,342,27.1538461538462,14.25,0,0,0,0,0.505478606627675,0.24044724434618,0.606105211516619,0.137023684970026,0.937545483539137,0.744089825616703,0.937545483539137,0.744089825616703,8.12203659419902,0.00269944384306354,0.0170136394258199,0.722245263010277,FALSE
"32","MAYBE_FACTORxDaySold",FALSE,FALSE,0.997505799559372,0.0602874961301148,"NUMBERxNOT_FACTORxSquareFeet~NUMBERxNOT_FACTORxLotSize+FACTORxMAYBE_FACTORxDaySold","NUMBERxNOT_FACTORxSquareFeet~NUMBERxNOT_FACTORxLotSize+FACTORxMAYBE_FACTORxDaySold+NUMBERxNOT_FACTORxLotSize:FACTORxMAYBE_FACTORxDaySold",468541.675085186,52784690.1622921,0.469945355191257,0.530054644808743,0.0139237751408348,0.0137985919833756,32,62,32,62,334,304,10.4375,4.90322580645161,0,0,0,0,0.435348249519053,0.44444846074288,0.292291069943657,0.352435038518774,0.981227573510823,0.987828513135892,0.981227573510823,0.987828513135892,-25.6009963259103,0.472515761837994,0.0660292434518822,0.609371673064927,FALSE
"33","MAYBE_FACTORxYearSold",FALSE,FALSE,0.929534363492767,0.208067923539139,"NUMBERxNOT_FACTORxSquareFeet~NUMBERxMAYBE_FACTORxYearBuilt+FACTORxMAYBE_FACTORxYearSold","NUMBERxNOT_FACTORxSquareFeet~NUMBERxMAYBE_FACTORxYearBuilt+FACTORxMAYBE_FACTORxYearSold+NUMBERxMAYBE_FACTORxYearBuilt:FACTORxMAYBE_FACTORxYearSold",444298.290561697,454924.048575757,0.483606557377049,0.516393442622951,0.00099811906710856,0.00897102682121242,12,22,12,22,354,344,29.5,15.6363636363636,0,0,0,0,0.575041720032515,0.569430966483383,0.531824289198747,0.595812090747142,0.965092975700377,0.94270707439247,0.965092975700377,0.94270707439247,-6.57945819261568,0.237422520414621,0.679229851737758,0.975644447767212,FALSE
"34","MAYBE_FACTORxMonthSold",FALSE,TRUE,0.811330644787064,0.0160267950553414,"NUMBERxNOT_FACTORxSquareFeet~NUMBERxMAYBE_FACTORxYearBuilt+FACTORxMAYBE_FACTORxMonthSold","NUMBERxNOT_FACTORxSquareFeet~NUMBERxMAYBE_FACTORxYearBuilt+FACTORxMAYBE_FACTORxMonthSold+NUMBERxMAYBE_FACTORxYearBuilt:FACTORxMAYBE_FACTORxMonthSold",462833.507889238,494004.183147539,0.459016393442623,0.540983606557377,0.0217388571094884,0.0259555156013904,13,24,13,24,353,342,27.1538461538462,14.25,0,0,0,0,0.543857785771525,0.585937037065622,0.538204077431231,0.551906808591505,0.936851902438532,0.95859658032508,0.936851902438532,0.95859658032508,-8.83241907368301,0.329721255150283,0.538204077431231,0.876313993294807,FALSE
"35","MAYBE_FACTORxDaySold",FALSE,FALSE,0.905874457511082,0.0800819684508954,"NUMBERxNOT_FACTORxSquareFeet~NUMBERxMAYBE_FACTORxYearBuilt+FACTORxMAYBE_FACTORxDaySold","NUMBERxNOT_FACTORxSquareFeet~NUMBERxMAYBE_FACTORxYearBuilt+FACTORxMAYBE_FACTORxDaySold+NUMBERxMAYBE_FACTORxYearBuilt:FACTORxMAYBE_FACTORxDaySold",485268.686985772,529427.078215488,0.472677595628415,0.527322404371585,0.00544279615648147,0.000468434191757128,32,62,32,62,334,304,10.4375,4.90322580645161,0,0,0,0,0.447999616500388,0.542129240419131,0.319993840439304,0.576321705328225,0.993265441984439,0.972977136498719,0.993265441984439,0.972977136498719,-27.3805525450734,0.553390805604319,0.469571519681351,0.943542524389268,FALSE
"36","MAYBE_FACTORxYearSold",FALSE,FALSE,0.763580604076193,0.866248648291973,"NUMBERxNOT_FACTORxSquareFeet~NUMBERxNOT_FACTORxCostPerSqFt+FACTORxMAYBE_FACTORxYearSold","NUMBERxNOT_FACTORxSquareFeet~NUMBERxNOT_FACTORxCostPerSqFt+FACTORxMAYBE_FACTORxYearSold+NUMBERxNOT_FACTORxCostPerSqFt:FACTORxMAYBE_FACTORxYearSold",444583.611817511,446569.057786091,0.521857923497268,0.478142076502732,0.00560622402610811,-0.0127570224621432,12,22,12,22,354,344,29.5,15.6363636363636,0,0,0,0,0.508820374532079,0.625954760856583,0.492419965395119,0.592869466140887,0.977830877072571,0.932264640827598,0.977830877072571,0.932264640827598,-16.209367006004,0.963446615754953,0.179065635704642,0.894432991696652,FALSE
"37","MAYBE_FACTORxMonthSold",FALSE,FALSE,0.231575911250896,0.302419325663762,"NUMBERxNOT_FACTORxSquareFeet~NUMBERxNOT_FACTORxCostPerSqFt+FACTORxMAYBE_FACTORxMonthSold","NUMBERxNOT_FACTORxSquareFeet~NUMBERxNOT_FACTORxCostPerSqFt+FACTORxMAYBE_FACTORxMonthSold+NUMBERxNOT_FACTORxCostPerSqFt:FACTORxMAYBE_FACTORxMonthSold",461063.837047693,492551.186950965,0.489071038251366,0.510928961748634,0.028247488438489,0.0426751575139823,13,24,13,24,353,342,27.1538461538462,14.25,0,0,0,0,0.507959574491616,0.536730070663538,0.552097112316958,0.545331799510876,0.983462333221508,0.993393740900646,0.983462333221508,0.993393740900646,-4.93865307375836,0.135621663573142,0.0983562854436802,0.929285057537679,FALSE
"38","MAYBE_FACTORxDaySold",FALSE,TRUE,0.672674245669981,8.161445912428e-05,"NUMBERxNOT_FACTORxSquareFeet~NUMBERxNOT_FACTORxCostPerSqFt+FACTORxMAYBE_FACTORxDaySold","NUMBERxNOT_FACTORxSquareFeet~NUMBERxNOT_FACTORxCostPerSqFt+FACTORxMAYBE_FACTORxDaySold+NUMBERxNOT_FACTORxCostPerSqFt:FACTORxMAYBE_FACTORxDaySold",483538.008823612,526661.091481232,0.42896174863388,0.57103825136612,0.0113495153797445,-0.0049050916048976,32,62,32,62,334,304,10.4375,4.90322580645161,0,0,0,0,0.428995425751908,0.501052609922342,0.295450579466675,0.520139866417851,0.972872175366086,0.999124498121902,0.972872175366086,0.999124498121902,-31.5230852149325,0.738233521499197,0.113157171812696,0.9440042727296,FALSE
"39","MAYBE_FACTORxYearSold",FALSE,FALSE,0.608342574371997,0.939712503869885,"NUMBERxNOT_FACTORxSquareFeet~NUMBERxNOT_FACTORxOrigPrice+FACTORxMAYBE_FACTORxYearSold","NUMBERxNOT_FACTORxSquareFeet~NUMBERxNOT_FACTORxOrigPrice+FACTORxMAYBE_FACTORxYearSold+NUMBERxNOT_FACTORxOrigPrice:FACTORxMAYBE_FACTORxYearSold",250523.975762693,243378.531493129,0.530054644808743,0.469945355191257,0.486728259113194,0.506593779947319,12,22,12,22,354,344,29.5,15.6363636363636,0,0,0,0,0.233144205676764,0.379749705454326,0.0970790785811273,0.359465729564903,0.954009687624294,0.976279776186892,0.954009687624294,0.976279776186892,4.93479657282023,0.00841970567102302,3.57593891226969e-53,0.833001419908286,FALSE
"40","MAYBE_FACTORxMonthSold",FALSE,FALSE,0.860644757180709,0.133751351708027,"NUMBERxNOT_FACTORxSquareFeet~NUMBERxNOT_FACTORxOrigPrice+FACTORxMAYBE_FACTORxMonthSold","NUMBERxNOT_FACTORxSquareFeet~NUMBERxNOT_FACTORxOrigPrice+FACTORxMAYBE_FACTORxMonthSold+NUMBERxNOT_FACTORxOrigPrice:FACTORxMAYBE_FACTORxMonthSold",245710.45150759,261986.616063142,0.478142076502732,0.521857923497268,0.476322810445068,0.505545146474216,13,24,13,24,353,342,27.1538461538462,14.25,0,0,0,0,0.522006853758384,0.366071596884668,0.546170332906128,0.294408054168471,0.984588406095349,0.934337627850238,0.984588406095349,0.934337627850238,10.6021506008201,0.00115896138356977,6.45023709003446e-50,0.984603365070793,FALSE
